CNPJ_FUNDO;DT_REG;VL_TAXA_PERFM;DS_TAXA_PERFM;DT_INI_TAXA_PERFM
00.017.024/0001-53;2005-03-31;0.000000000000;;2016-06-17
00.068.305/0001-35;2004-12-22;0.000000000000;;2015-11-18
00.071.477/0001-68;2005-03-29;0.000000000000;;2016-03-23
00.073.041/0001-08;2005-07-28;0.000000000000;;2016-05-25
00.083.181/0001-67;2005-02-03;0.000000000000;;2019-04-02
00.089.915/0001-15;2005-07-08;0.000000000000;;2019-07-25
00.102.322/0001-41;2005-02-11;20.000000000000;;2007-08-30
00.102.322/0001-41;2005-02-11;0.000000000000;;2016-11-01
00.129.444/0001-21;2016-11-17;0.000000000000;;2017-01-09
00.180.995/0001-10;2005-02-15;0.000000000000;;2016-04-11
00.185.259/0001-54;2005-02-01;0.000000000000;;2015-10-26
00.194.256/0001-87;2005-04-01;0.000000000000;;2016-05-19
00.195.001/0001-39;2005-03-31;0.000000000000;;2016-08-18
00.211.294/0001-09;2005-03-08;0.000000000000;;2016-06-20
00.222.725/0001-24;2005-01-13;0.000000000000;;2016-06-21
00.222.816/0001-60;2005-02-15;0.000000000000;;2016-06-21
00.280.302/0001-60;2005-04-07;0.000000000000;;2016-06-22
00.287.402/0001-19;2005-03-05;0.000000000000;;2016-06-24
00.306.278/0001-91;2005-04-07;0.000000000000;;2016-06-15
00.322.699/0001-06;2005-04-06;0.000000000000;;2016-06-24
00.323.513/0001-33;2005-03-19;0.000000000000;;2017-02-15
00.346.750/0001-10;2005-04-07;0.000000000000;;2016-06-30
00.346.750/0001-10;2005-04-07;20.000000000000;O fundo cobrara 20.00 % do que exceder 100.00 % o indice CDIE. A taxa de performance sera paga no(s) mes(es) de Janeiro e Julho;2021-12-16
00.360.293/0001-18;2005-04-01;0.000000000000;;2016-05-30
00.368.785/0001-50;2005-03-18;10.000000000000;;2007-08-31
00.398.561/0001-90;2005-03-24;20.000000000000;;2011-12-22
00.398.561/0001-90;2005-03-24;20.000000000000;O GESTOR RECEBERÁ TAMBÉM TAXA DE PERFORMANCE, EQUIVALENTE A 20% (VINTE POR CENTO) DA RENTABILIDADE DO FUNDO QUE, DEPOIS DE DEDUZIDAS TODAS AS DESPESAS, INCLUSIVE A TAXA DE ADMINISTRAÇÃO, EXCEDER A 100% (CEM POR CENTO) DA VARIAÇÃO DO ÍNDICE IBOVESPA, APURADO PELA BM&FBOVESPA.;2023-01-02
00.400.490/0001-13;2005-03-24;20.000000000000;;2011-12-22
00.400.490/0001-13;2005-03-24;20.000000000000;O GESTOR RECEBERÁ TAMBÉM TAXA DE PERFORMANCE, EQUIVALENTE A 20%  DA RENTABILIDADE DO FUNDO QUE EXCEDER A 100%  DA VARIAÇÃO DO CDI DE UM DIA, APURADO PELA CETIP S.A.;2022-05-10
00.463.569/0001-93;2005-03-15;0.000000000000;;2016-06-28
00.479.318/0001-05;2005-03-19;20.000000000000;;2008-01-02
00.524.617/0001-06;2005-03-22;0.000000000000;;2016-04-16
00.527.147/0001-34;2015-08-18;0.000000000000;;2016-06-15
00.539.553/0001-17;2005-02-11;20.000000000000;;2012-08-13
00.539.553/0001-17;2005-02-11;0.000000000000;;2016-07-12
00.575.922/0001-27;2004-12-09;0.000000000000;;2017-03-06
00.598.452/0001-17;2005-04-15;0.000000000000;;2016-04-04
00.601.692/0001-23;2005-03-18;20.000000000000;;2007-09-27
00.601.692/0001-23;2005-03-18;20.000000000000;Para informações adicionais, vide o Regulamento;2019-04-03
00.601.692/0001-23;2005-03-18;20.000000000000;'Para informações adicionais, vide o Regulamento;2019-09-30
00.601.692/0001-23;2005-03-18;20.000000000000;O FUNDO, com base em seu resultado, remunera a GESTORA mediante o pagamento do equivalente a 20% (vinte por cento) da valorização da cota do FUNDO que, em cada ano civil, exceder 100% (cem por cento) do Ibovespa Fechamento (taxa de performance).;2021-09-27
00.743.026/0001-20;2005-04-15;0.000000000000;;2016-04-04
00.754.543/0001-02;2005-03-30;0.000000000000;;2016-06-03
00.756.851/0001-69;2005-03-29;0.000000000000;;2016-05-05
00.766.542/0001-70;2005-03-29;0.000000000000;;2016-05-09
00.777.815/0001-81;2005-04-07;0.000000000000;;2016-06-16
00.785.365/0001-79;2005-03-21;0.000000000000;;2020-06-12
00.787.095/0001-35;2005-04-19;0.000000000000;;2016-06-15
00.793.947/0001-05;2005-03-23;0.000000000000;;2016-06-30
00.807.777/0001-62;2005-05-23;0.000000000000;;2016-11-07
00.809.773/0001-13;2005-04-06;0.000000000000;;2016-06-16
00.812.433/0001-41;2005-03-29;0.000000000000;;2015-10-19
00.813.340/0001-31;2005-01-13;0.000000000000;;2016-04-07
00.813.342/0001-20;2005-01-13;0.000000000000;;2016-06-21
00.817.201/0001-86;2005-03-15;0.000000000000;;2016-02-17
00.817.677/0001-17;2005-03-17;0.000000000000;;2016-02-04
00.819.855/0001-49;2005-03-15;0.000000000000;;2016-02-04
00.819.858/0001-82;2005-03-15;0.000000000000;;2016-02-04
00.819.875/0001-10;2005-03-16;0.000000000000;;2016-02-04
00.819.880/0001-22;2005-03-16;0.000000000000;;2016-02-04
00.819.889/0001-33;2005-03-17;0.000000000000;;2016-03-24
00.819.901/0001-00;2005-03-16;0.000000000000;;2016-02-04
00.819.915/0001-23;2005-03-15;0.000000000000;;2016-02-04
00.819.929/0001-47;2005-03-16;0.000000000000;;2016-02-04
00.822.055/0001-87;2005-04-11;0.000000000000;;2016-05-11
00.822.059/0001-65;2005-03-21;0.000000000000;;2016-05-10
00.822.063/0001-23;2005-03-31;0.000000000000;;2016-05-27
00.822.933/0001-64;2005-04-08;0.000000000000;;2016-02-12
00.822.944/0001-44;2005-03-22;20.000000000000;;2007-09-03
00.822.954/0001-80;2005-04-08;0.000000000000;;2016-04-16
00.823.017/0001-49;2005-03-22;20.000000000000;;2007-08-17
00.823.017/0001-49;2005-03-22;25.000000000000;;2012-02-27
00.823.162/0001-20;2005-03-28;20.000000000000;;2007-08-01
00.824.198/0001-28;2005-03-23;0.000000000000;;2016-06-30
00.825.073/0001-12;2005-02-10;0.000000000000;;2016-06-15
00.825.076/0001-56;2005-02-10;0.000000000000;;2016-06-15
00.825.077/0001-09;2005-02-10;0.000000000000;;2016-06-30
00.826.386/0001-95;2005-03-16;0.000000000000;;2016-06-08
00.826.600/0001-03;2005-02-11;0.000000000000;;2016-05-20
00.826.901/0001-37;2005-03-29;0.000000000000;;2021-08-05
00.826.903/0001-26;2005-04-05;15.000000000000;;2007-08-20
00.826.903/0001-26;2005-04-05;15.000000000000;15% que exceder a 100% do CDI.;2018-07-11
00.826.903/0001-26;2005-04-05;15.000000000000;CDI;2022-01-13
00.826.907/0001-04;2005-03-17;0.000000000000;;2022-12-21
00.826.911/0001-72;2005-02-28;0.000000000000;;2016-03-03
00.827.705/0001-87;2005-03-01;0.000000000000;;2016-06-01
00.828.035/0001-13;2005-03-14;10.000000000000;;2016-03-02
00.828.035/0001-13;2005-03-14;0.000000000000;;2021-01-11
00.828.035/0001-13;2005-03-14;20.000000000000;O fundo cobrara 20.00 % do que exceder 100.00 % o indice CDIE. A taxa de performance sera paga no(s) mes(es) de Janeiro e Julho;2022-02-18
00.828.371/0001-66;2005-04-11;0.000000000000;;2018-07-04
00.828.941/0001-18;2005-03-14;0.000000000000;;2020-06-12
00.829.163/0001-81;2005-03-09;10.000000000000;;2007-10-15
00.829.163/0001-81;2005-03-09;30.000000000000;;2008-03-03
00.829.163/0001-81;2005-03-09;0.000000000000;;2016-06-30
00.829.280/0001-45;2005-03-23;0.000000000000;;2021-09-01
00.829.282/0001-34;2005-03-16;0.000000000000;;2016-03-30
00.829.292/0001-70;2005-04-05;0.000000000000;;2016-01-21
00.829.364/0001-89;2005-04-27;0.000000000000;;2016-05-25
00.830.599/0001-90;2005-03-10;0.000000000000;;2016-07-25
00.832.407/0001-85;2005-03-22;0.000000000000;;2017-04-18
00.832.414/0001-87;2005-03-16;0.000000000000;;2016-01-26
00.832.424/0001-12;2005-03-22;0.000000000000;;2020-06-15
00.832.431/0001-14;2005-03-22;0.000000000000;;2020-06-12
00.832.435/0001-00;2005-03-16;0.000000000000;;2016-01-19
00.832.443/0001-49;2005-03-18;0.000000000000;;2016-08-17
00.832.445/0001-38;2005-03-16;0.000000000000;;2018-02-27
00.832.453/0001-84;2005-04-15;0.000000000000;;2018-12-10
00.832.454/0001-29;2005-04-15;20.000000000000;;2007-08-13
00.832.587/0001-03;2005-03-30;0.000000000000;;2016-01-19
00.832.588/0001-40;2005-03-30;0.000000000000;;2016-06-15
00.832.696/0001-12;2005-02-16;0.000000000000;;2016-06-27
00.833.452/0001-54;2005-03-29;0.000000000000;;2016-05-03
00.833.458/0001-21;2005-02-16;0.000000000000;;2017-04-25
00.834.072/0001-34;2004-12-22;0.000000000000;;2015-10-30
00.834.074/0001-23;2004-12-22;0.000000000000;;2015-11-16
00.836.255/0001-99;2005-03-19;20.000000000000;;2009-09-30
00.836.255/0001-99;2005-03-19;20.000000000000;;2016-03-13
00.836.258/0001-22;2005-03-16;0.000000000000;;2019-05-30
00.836.263/0001-35;2005-03-19;20.000000000000;;2008-01-02
00.836.263/0001-35;2005-03-19;20.000000000000;-;2023-11-09
00.838.266/0001-08;2005-04-20;0.000000000000;;2016-06-15
00.838.267/0001-52;2005-04-19;0.000000000000;;2016-06-15
00.838.269/0001-41;2005-04-20;0.000000000000;;2016-06-15
00.838.868/0001-65;2005-04-01;30.000000000000;;2007-09-26
00.838.868/0001-65;2005-04-01;30.000000000000;ADICIONALMENTE, SERÁ COBRADA TAXA DE PERFORMANCE, CALCULADA E APROPRIADA POR DIA ÚTIL, DE 30% (TRINTA POR CENTO) DA RENTABILIDADE DO FUNDO QUE EXCEDER A 100% (CEM POR CENTO) DA VARIAÇÃO DO CDI DE UM DIA, APURADA PELA CENTRAL DE CUSTÓDIA E LIQUIDAÇÃO FINANCEIRA DE TÍTULOS (CETIP).;2025-06-04
00.840.008/0001-66;2005-03-14;0.000000000000;;2017-04-17
00.840.011/0001-80;2005-03-10;0.000000000000;;2017-01-09
00.842.960/0001-07;2005-07-29;0.000000000000;;2016-05-11
00.846.898/0001-13;2005-03-16;0.000000000000;;2016-03-10
00.849.567/0001-37;2005-03-16;0.000000000000;;2016-06-30
00.852.311/0001-89;2005-04-04;0.000000000000;;2016-06-03
00.854.428/0001-00;2005-04-13;20.000000000000;;2007-09-28
00.855.065/0001-19;2005-03-18;20.000000000000;;2007-10-04
00.856.171/0001-17;2005-03-10;0.000000000000;;2016-06-22
00.856.751/0001-04;2005-03-31;20.000000000000;Montante final do investimento superior ao capital inicial da aplicação ou ao valor do investimento na data do último pagamento;2011-05-26
00.856.751/0001-04;2005-03-31;20.000000000000;;2012-01-02
00.856.751/0001-04;2005-03-31;20.000000000000;-;2018-04-26
00.856.755/0001-92;2005-01-13;0.000000000000;;2016-04-07
00.857.143/0001-14;2005-03-19;20.000000000000;;2008-01-02
00.857.361/0001-59;2005-08-01;0.000000000000;;2016-05-25
00.857.368/0001-70;2005-08-01;0.000000000000;;2016-05-25
00.861.129/0001-94;2005-02-17;10.000000000000;;2007-09-04
00.861.131/0001-63;2005-03-31;0.000000000000;;2016-05-13
00.875.318/0001-16;2005-02-28;0.000000000000;;2016-06-27
00.885.758/0001-54;2005-03-10;0.000000000000;;2016-06-24
00.885.760/0001-23;2005-04-07;0.000000000000;;2016-06-16
00.885.762/0001-12;2005-04-05;0.000000000000;;2016-06-27
00.888.897/0001-31;2005-03-11;20.000000000000;;2007-09-03
00.888.897/0001-31;2005-03-11;20.000000000000;O fundo cobrara 20.00 % do que exceder 100.00 % o indice CDIE. A taxa de performance sera paga no(s) mes(es) de Maio e Novembro;2017-01-06
00.888.899/0001-20;2005-03-10;20.000000000000;;2007-09-03
00.888.899/0001-20;2005-03-10;0.000000000000;;2016-06-09
00.893.531/0001-50;2005-04-14;20.000000000000;;2007-09-28
00.893.531/0001-50;2005-04-14;0.000000000000;;2018-06-08
00.906.044/0001-85;2005-03-21;20.000000000000;;2007-10-01
00.906.044/0001-85;2005-03-21;20.000000000000;Para informações adicionais, vide o Regulamento;2019-04-03
