TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;CD_SWAP;DS_SWAP
CLASSES - FIF;12.082.452/0001-49;IP PARTICIPAÇÕES IPG FIC DE FIF EM AÇÕES - RESPONSABILIDADE LIMITADA;2025-02-28;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;3.18;;;SLP;IAP X PRE
CLASSES - FIF;14.239.657/0001-10;CAIXA MASTER CAPITAL PROTEGIDO IBOVESPA CICLICO I FIF MULTIMERCADO - RESPONSABILIDADE LIMITADA;2025-02-28;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;1839178.04;;;SDP;DI1 X PRE
CLASSES - FIF;16.916.060/0001-99;CAIXA INDEXA OURO FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO LONGO PRAZO - RESP LIMITADA;2025-02-28;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;575725.17;;;Outros;999 X 999
CLASSES - FIF;16.916.060/0001-99;CAIXA INDEXA OURO FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO LONGO PRAZO - RESP LIMITADA;2025-02-28;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;2753381.04;;;Outros;999 X 999
CLASSES - FIF;22.013.952/0001-82;SANTANDER PB AMÉRICA MULTIMERCADO CRÉDITO PRIVADO - FUNDO DE INVESTIMENTO FINANCEIRO;2025-02-28;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;1463671.63;;2025-05-29;SDP;DI1 X PRE
CLASSES - FIF;22.013.978/0001-20;SANTANDER PB TAORMINA MULTIMERCADO CRÉDITO PRIVADO - FUNDO DE INVESTIMENTO FINANCEIRO;2025-02-28;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;537149.92;;2025-05-29;SDP;DI1 X PRE
CLASSES - FIF;22.963.439/0001-52;TREND OURO FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO - RESPONSABILIDADE LIMITADA;2025-02-28;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;482211.04;;;Outros;999 X 999
CLASSES - FIF;22.963.439/0001-52;TREND OURO FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO - RESPONSABILIDADE LIMITADA;2025-02-28;DIFERENCIAL DE SWAP A RECEBER;SWAP;;;;;;;;1077518.42;;;Outros;999 X 999
CLASSES - FIF;26.507.065/0001-11;SANTANDER PB MOGADOURO MULTIMERCADO - FIF;2025-02-28;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;1000410.81;;2025-05-29;SDP;DI1 X PRE
CLASSES - FIF;28.194.713/0001-52;SANTANDER PB SERENGETI MULTIMERCADO - FIF;2025-02-28;DIFERENCIAL DE SWAP A PAGAR;SWAP;;;;;;;;649866.63;;2025-05-29;SDP;DI1 X PRE
