TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;PF_PJ_EMISSOR;CPF_CNPJ_EMISSOR;EMISSOR;DT_VENC;TITULO_POSFX;CD_INDEXADOR_POSFX;DS_INDEXADOR_POSFX;PR_INDEXADOR_POSFX;PR_CUPOM_POSFX;PR_TAXA_PREFX;TITULO_CETIP;TITULO_GARANTIA;CNPJ_INSTITUICAO_FINANC_COOBR
CLASSES - FIF;00.832.407/0001-85;ITAÚ FRANCÊS RENDA FIXA FUNDO DE INVESTIMENTO FINANCEIRO RESPONSABILIDADE LIMITADA;2024-12-31;Debêntures;Debênture simples;N;Para negociação;;;;;41816.000000;41915723.89;;2025-03-31;PJ;01.027.058/0001-91;CIELO SA;2027-12-17;S;DI1;DI de um dia;100.000000;0.540000;;S;N;
CLASSES - FIF;01.361.074/0001-16;TOP RENDA FIXA MIX CRÉD PRIV LONGO PRAZO FIF RESPONSABILIDADE LIMITADA;2024-12-31;Debêntures;Debênture simples;N;Para negociação;;;;;22268.000000;19573890.41;;2025-03-31;PJ;10.552.848/0001-87;BRILHANTE TRANSMISSORA DE ENERGIA S;2025-12-15;S;DI1;DI de um dia;100.000000;1.250000;;S;N;
CLASSES - FIF;01.361.074/0001-16;TOP RENDA FIXA MIX CRÉD PRIV LONGO PRAZO FIF RESPONSABILIDADE LIMITADA;2024-12-31;Debêntures;Debênture simples;N;Para negociação;;;;;7130.000000;7166223.93;;2025-03-31;PJ;33.611.500/0001-19;GERDAU S.A.;2028-12-10;S;DI1;DI de um dia;100.000000;0.500000;;S;N;
CLASSES - FIF;01.361.074/0001-16;TOP RENDA FIXA MIX CRÉD PRIV LONGO PRAZO FIF RESPONSABILIDADE LIMITADA;2024-12-31;Debêntures;Debênture simples;N;Para negociação;;;;;4284.000000;4288196.19;;2025-03-31;PJ;19.014.221/0001-47;CHINA THREE GORGES BRASIL ENERGIA S;2029-12-15;S;DI1;DI de um dia;100.000000;0.430000;;S;N;
CLASSES - FIF;01.361.074/0001-16;TOP RENDA FIXA MIX CRÉD PRIV LONGO PRAZO FIF RESPONSABILIDADE LIMITADA;2024-12-31;Debêntures;Debênture simples;N;Para negociação;;;;;13753.000000;13845084.70;;2025-03-31;PJ;16.670.085/0001-55;LOCALIZA RENT A CAR S/A;2030-12-10;S;DI1;DI de um dia;100.000000;1.550000;;S;N;
CLASSES - FIF;01.361.074/0001-16;TOP RENDA FIXA MIX CRÉD PRIV LONGO PRAZO FIF RESPONSABILIDADE LIMITADA;2024-12-31;Debêntures;Debênture simples;N;Para negociação;;;;;12628.000000;12651753.46;;2025-03-31;PJ;75.609.123/0001-23;OURO VERDE LOCACAO E SERVICOS S.A.;2029-11-18;S;DI1;DI de um dia;100.000000;2.500000;;S;N;
CLASSES - FIF;01.361.074/0001-16;TOP RENDA FIXA MIX CRÉD PRIV LONGO PRAZO FIF RESPONSABILIDADE LIMITADA;2024-12-31;Debêntures;Debênture simples;N;Para negociação;;;;;4144.000000;4154218.15;;2025-03-31;PJ;05.914.650/0001-66;CENTRAIS ELETRICAS RONDONIA SA;2029-12-15;S;DI1;DI de um dia;100.000000;0.950000;;S;N;
CLASSES - FIF;01.361.074/0001-16;TOP RENDA FIXA MIX CRÉD PRIV LONGO PRAZO FIF RESPONSABILIDADE LIMITADA;2024-12-31;Debêntures;Debênture simples;N;Para negociação;;;;;32114.000000;32228012.94;;2025-03-31;PJ;27.093.558/0001-15;MILLS ESTR. E SERVIÇOS DE ENGEN S/A;2032-11-25;S;DI1;DI de um dia;100.000000;1.300000;;S;N;
CLASSES - FIF;01.361.074/0001-16;TOP RENDA FIXA MIX CRÉD PRIV LONGO PRAZO FIF RESPONSABILIDADE LIMITADA;2024-12-31;Debêntures;Debênture simples;N;Para negociação;;;;;8301.000000;8837405.36;;2025-03-31;PJ;13.382.604/0001-91;PEQUENA CENTRAL HIDRELETRICA SL S/A;2029-01-17;S;DI1;DI de um dia;100.000000;1.400000;;S;N;
CLASSES - FIF;01.361.074/0001-16;TOP RENDA FIXA MIX CRÉD PRIV LONGO PRAZO FIF RESPONSABILIDADE LIMITADA;2024-12-31;Debêntures;Debênture simples;N;Para negociação;;;;;12649.000000;12677024.23;;2025-03-31;PJ;60.659.463/0029-92;ACHE LABORATORIOS FARMACEUTICOS S.A;2031-12-15;S;DI1;DI de um dia;100.000000;0.700000;;S;N;
