TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;VL_PATRIM_LIQ
CLASSES - FIF;00.071.477/0001-68;BB RENDA FIXA AUTOMÁTICO EMPRESA SIMPLES FIC DE FUNDOS DE INVESTIMENTO FINANCEIRO RESP LIMITADA;2025-03-31;1039278811.53
CLASSES - FIF;00.222.725/0001-24;SANTANDER CRESCIMENTO CENTRUM RENDA FIXA - CIC FIF RESPONSABILIDADE LIMITADA;2025-03-31;66266783.06
CLASSES - FIF;00.306.278/0001-91;BRADESCO FIC DE FI FINANCEIRO RENDA FIXA REFERENCIADA DI - RESPONSABILIDADE LIMITADA;2025-03-31;2787515417.86
CLASSES - FIF;00.398.561/0001-90;PORTO ALISIOS FUNDO DE INVESTIMENTO FINANCEIRO DA CIC EM AÇÕES RESP LIMITADA;2025-03-31;21320634.72
CLASSES - FIF;00.777.815/0001-81;BRADESCO H FC DE FUNDO DE INVESTIMENTO FINANCEIRO RF REF DI LP FUNCIONÁRIO - RESP LIMITADA;2025-03-31;102690190.06
CLASSES - FIF;00.785.365/0001-79;ITAÚ MONEY MARKET RENDA FIXA FIF DA CIC RESP LIMITADA;2025-03-31;64950711.14
CLASSES - FIF;00.793.947/0001-05;BRADESCO VÊNUS FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA - RESPONSABILIDADE LIMITADA;2025-03-31;43542135.95
CLASSES - FIF;00.809.773/0001-13;BRADESCO H FIF - CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA CURTO PRAZO OVER - RESP LIMITADA;2025-03-31;62304663.66
CLASSES - FIF;00.812.433/0001-41;BNB AUTOMÁTICO CLASSE DE INVESTIMENTO RENDA FIXA CURTO PRAZO - RESP LIMITADA;2025-03-31;4796438535.28
CLASSES - FIF;00.813.342/0001-20;SANTANDER MAIS 2 RENDA FIXA REFERENCIADO DI - CIC FIF RESP LIMITADA;2025-03-31;668612789.78
CLASSES - FIF;00.817.201/0001-86;ITAU RENDA FIXA PLUS FIF DA CLASSE DE INVESTIMENTO EM COTAS RESPONSABILIDADE LIMITADA;2025-03-31;14179039.53
CLASSES - FIF;00.824.198/0001-28;BRADESCO FC DE FUNDO DE INVESTIMENTO FINANCEIRO RF REF DI FEDERAL - RESP LIMITADA;2025-03-31;56835526.83
