TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;ID_DOC;VL_PATRIM_LIQ;TP_APLIC;TP_ATIVO;EMISSOR_LIGADO;TP_NEGOC;QT_VENDA_NEGOC;VL_VENDA_NEGOC;QT_AQUIS_NEGOC;VL_AQUIS_NEGOC;QT_POS_FINAL;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC;CD_ATIVO;DS_ATIVO;DT_VENC;PF_PJ_EMISSOR;CPF_CNPJ_EMISSOR;EMISSOR;RISCO_EMISSOR;CD_SELIC;DT_INI_VIGENCIA;CD_PAIS;PAIS;CD_BV_MERC;BV_MERC
CLASSES FIIM;40.952.802/0001-16;TREND ETF MSCI US TECHNOLOGY FUNDO DE INVESTIMENTO DE ÍNDICE;2024-06-30;692572;237832875.26;COTAS DE FUNDOS;;N;;397.36;53478.82;585.34;78978.03;474.71;64233.90;;;;;;PJ;43105440000116;BNP PARIBAS SOBERANO II CIC DE CLASSE DE INVESTIMENTO RENDA FIXA SIMPLES - RESP LIMITADA;;;;;;;
CLASSES FIIM;42.101.885/0001-65;TREND ETF CRSP U.S. LARGE CAP FUNDO DE INVESTIMENTO DE ÍNDICE;2024-06-30;692566;391860259.04;COTAS DE FUNDOS;;N;;368.76;49614.18;627.80;84824.51;719.01;97291.06;;;;;;PJ;43105440000116;BNP PARIBAS SOBERANO II CIC DE CLASSE DE INVESTIMENTO RENDA FIXA SIMPLES - RESP LIMITADA;;;;;;;
CLASSES FIIM;51.949.867/0001-29;BUENA VISTA US HIGH INCOME ETF FUNDO DE ÍNDICE NEOS U.S EQUITY HIGH INCOME INDEX;2024-06-30;696222;64933934.17;DISPONIBILIDADES;Outros;;Para negociação;;;;;;655916.48;;;;EXTERIOR CAIXA;;PJ;4423567000121;*** A Definir ***;;;;;;;
CLASSES FIIM;51.949.867/0001-29;BUENA VISTA US HIGH INCOME ETF FUNDO DE ÍNDICE NEOS U.S EQUITY HIGH INCOME INDEX;2024-06-30;696222;64933934.17;VALORES A PAGAR;Outros;;Para negociação;;;;;;27043.82;;;;TAXA GEST?O PROVIS?O;;PJ;29415858000107;SEM DEFINI??O;;;;;;;
CLASSES FIIM;51.949.867/0001-29;BUENA VISTA US HIGH INCOME ETF FUNDO DE ÍNDICE NEOS U.S EQUITY HIGH INCOME INDEX;2024-06-30;696222;64933934.17;VALORES A PAGAR;Outros;;Para negociação;;;;;;646666.86;;;;COTAS   A RESGATAR;;PJ;29415858000107;SEM DEFINI??O;;;;;;;
CLASSES FIIM;51.949.867/0001-29;BUENA VISTA US HIGH INCOME ETF FUNDO DE ÍNDICE NEOS U.S EQUITY HIGH INCOME INDEX;2024-06-30;696222;64933934.17;VALORES A PAGAR;Outros;;Para negociação;;;;;;26.75;;;;IR S/RESGATE IR;;PJ;29415858000107;SEM DEFINI??O;;;;;;;
CLASSES FIIM;51.949.867/0001-29;BUENA VISTA US HIGH INCOME ETF FUNDO DE ÍNDICE NEOS U.S EQUITY HIGH INCOME INDEX;2024-06-30;696222;64933934.17;VALORES A PAGAR;Outros;;Para negociação;;;;;;22136.15;;;;FORMADOR DE MERCADO;;PJ;29415858000107;SEM DEFINI??O;;;;;;;
CLASSES FIIM;51.949.867/0001-29;BUENA VISTA US HIGH INCOME ETF FUNDO DE ÍNDICE NEOS U.S EQUITY HIGH INCOME INDEX;2024-06-30;696222;64933934.17;VALORES A PAGAR;Outros;;Para negociação;;;;;;2000.00;;;;TX ESCRT FIX PROVIS?O;;PJ;29415858000107;SEM DEFINI??O;;;;;;;
CLASSES FIIM;51.949.867/0001-29;BUENA VISTA US HIGH INCOME ETF FUNDO DE ÍNDICE NEOS U.S EQUITY HIGH INCOME INDEX;2024-06-30;696222;64933934.17;VALORES A PAGAR;Outros;;Para negociação;;;;;;5191.45;;;;TX ESCRT VAR PROVIS?O;;PJ;29415858000107;SEM DEFINI??O;;;;;;;
CLASSES FIIM;51.949.867/0001-29;BUENA VISTA US HIGH INCOME ETF FUNDO DE ÍNDICE NEOS U.S EQUITY HIGH INCOME INDEX;2024-06-30;696222;64933934.17;VALORES A RECEBER;Outros;;Para negociação;;;;;;11.21;;;;Ajuste Cota Despesa;;PJ;29415858000107;SEM DEFINI??O;;;;;;;
CLASSES FIIM;51.949.867/0001-29;BUENA VISTA US HIGH INCOME ETF FUNDO DE ÍNDICE NEOS U.S EQUITY HIGH INCOME INDEX;2024-06-30;696222;64933934.17;VALORES A RECEBER;Outros;;Para negociação;;;;;;26176.70;;;;VAL A RECEBE;;PJ;29415858000107;SEM DEFINI??O;;;;;;;
CLASSES FIIM;51.949.867/0001-29;BUENA VISTA US HIGH INCOME ETF FUNDO DE ÍNDICE NEOS U.S EQUITY HIGH INCOME INDEX;2024-06-30;696222;64933934.17;VALORES A RECEBER;Outros;;Para negociação;;;;;;5490.90;;;;TX FISCALIZ DIFERIDO;;PJ;29415858000107;SEM DEFINI??O;;;;;;;
CLASSES FIIM;51.949.867/0001-29;BUENA VISTA US HIGH INCOME ETF FUNDO DE ÍNDICE NEOS U.S EQUITY HIGH INCOME INDEX;2024-06-30;696222;64933934.17;VALORES A RECEBER;Outros;;Para negociação;;;;;;87109.74;;;;C OFF INVOI DIFERIDO;;PJ;29415858000107;SEM DEFINI??O;;;;;;;
CLASSES FIIM;51.949.867/0001-29;BUENA VISTA US HIGH INCOME ETF FUNDO DE ÍNDICE NEOS U.S EQUITY HIGH INCOME INDEX;2024-06-30;696222;64933934.17;INVESTIMENTO NO EXTERIOR;Outros;N;Para negociação;;;;;231703.00;64593892.41;;;SPY S&P 500;;;;;NEOS S&P 500 HIGH INCOME ETF;N;;;28;ESTADOS UNIDOS DA AMÉRICA;A1;AMERICAN STOCK EXCHANGE
CLASSES FIIM;51.949.867/0001-29;BUENA VISTA US HIGH INCOME ETF FUNDO DE ÍNDICE NEOS U.S EQUITY HIGH INCOME INDEX;2024-06-30;696222;64933934.17;COTAS DE FUNDOS;;S;;;;;;242078.00;268401.76;;;;;;PJ;50628101000180;BEYOND SOBERANO FIF CLASSE DE INVESTIMENTO EM COTAS RENDA FIXA REFERENCIADO DI RESP LIMITADA;;;;;;;
CLASSES FIIM;54.314.981/0001-70;IT NOW IDIV RENDA DIVIDENDOS FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;2024-06-30;693629;40565886.54;AÇÕES;;N;Para negociação;22766.00;408077.62;141278.00;2413266.02;118512.00;2178250.56;;;GGBR4;;;;;;;;2001-02-01;;;;
CLASSES FIIM;54.314.981/0001-70;IT NOW IDIV RENDA DIVIDENDOS FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;2024-06-30;693629;40565886.54;AÇÕES;;N;Para negociação;14937.00;156205.58;92105.00;927057.01;77168.00;821839.20;;;GOAU4;;;;;;;;1973-08-27;;;;
CLASSES FIIM;54.314.981/0001-70;IT NOW IDIV RENDA DIVIDENDOS FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;2024-06-30;693629;40565886.54;AÇÕES;;N;Para negociação;9072.00;286810.02;56261.00;1662195.93;47189.00;1522789.03;;;JBSS3;;;;;;;;2007-03-29;;;;
CLASSES FIIM;54.314.981/0001-70;IT NOW IDIV RENDA DIVIDENDOS FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;2024-06-30;693629;40565886.54;AÇÕES;;N;Para negociação;22634.00;125847.12;140412.00;761691.32;117778.00;658379.02;;;SAPR4;;;;;;;;2002-01-02;;;;
CLASSES FIIM;54.314.981/0001-70;IT NOW IDIV RENDA DIVIDENDOS FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;2024-06-30;693629;40565886.54;AÇÕES;;N;Para negociação;1149.00;56423.52;7097.00;336927.61;5948.00;290202.92;;;UNIP6;;;;;;;;1980-06-04;;;;
CLASSES FIIM;54.314.981/0001-70;IT NOW IDIV RENDA DIVIDENDOS FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;2024-06-30;693629;40565886.54;AÇÕES;;N;Para negociação;5639.00;103173.95;34988.00;638373.77;29349.00;543249.99;;;BRAP4;;;;;;;;2000-08-10;;;;
CLASSES FIIM;54.314.981/0001-70;IT NOW IDIV RENDA DIVIDENDOS FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;2024-06-30;693629;40565886.54;AÇÕES;;N;Para negociação;5864.00;38510.92;36341.00;221474.55;30477.00;203586.36;;;BEEF3;;;;;;;;2007-07-20;;;;
CLASSES FIIM;54.314.981/0001-70;IT NOW IDIV RENDA DIVIDENDOS FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;2024-06-30;693629;40565886.54;AÇÕES;;N;Para negociação;37828.00;355839.00;234124.00;2153882.46;196296.00;1825552.80;;;CPLE6;;;;;;;;1996-11-14;;;;
CLASSES FIIM;54.314.981/0001-70;IT NOW IDIV RENDA DIVIDENDOS FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;2024-06-30;693629;40565886.54;AÇÕES;;N;Para negociação;29215.00;244630.56;181285.00;1489718.74;152070.00;1260660.30;;;CPLE3;;;;;;;;1994-04-12;;;;
CLASSES FIIM;54.314.981/0001-70;IT NOW IDIV RENDA DIVIDENDOS FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;2024-06-30;693629;40565886.54;AÇÕES;;N;Para negociação;1221.00;12692.40;7546.00;72122.78;6325.00;65147.50;;;PLPL3;;;;;;;;2020-09-17;;;;
CLASSES FIIM;54.314.981/0001-70;IT NOW IDIV RENDA DIVIDENDOS FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;2024-06-30;693629;40565886.54;AÇÕES;;N;Para negociação;4550.00;51386.60;28210.00;309548.66;23660.00;268541.00;;;BRSR6;;;;;;;;2007-09-03;;;;
CLASSES FIIM;54.314.981/0001-70;IT NOW IDIV RENDA DIVIDENDOS FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;2024-06-30;693629;40565886.54;AÇÕES;;N;Para negociação;8590.00;340888.10;53295.00;2077558.06;44705.00;1805187.90;;;PETR3;;;;;;;;1973-09-18;;;;
CLASSES FIIM;54.314.981/0001-70;IT NOW IDIV RENDA DIVIDENDOS FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;2024-06-30;693629;40565886.54;AÇÕES;;N;Para negociação;24951.00;126841.85;154748.00;766484.53;129797.00;673646.43;;;CMIN3;;;;;;;;2021-02-18;;;;
CLASSES FIIM;54.314.981/0001-70;IT NOW IDIV RENDA DIVIDENDOS FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;2024-06-30;693629;40565886.54;AÇÕES;;N;Para negociação;14034.00;176676.84;87093.00;1109326.42;73059.00;904470.42;;;BBDC4;;;;;;;;1973-12-06;;;;
CLASSES FIIM;54.314.981/0001-70;IT NOW IDIV RENDA DIVIDENDOS FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;2024-06-30;693629;40565886.54;AÇÕES;;N;Para negociação;24612.00;138811.68;152670.00;860562.60;128058.00;720966.54;;;CIEL3;;;;;;;;2009-12-18;;;;
CLASSES FIIM;54.314.981/0001-70;IT NOW IDIV RENDA DIVIDENDOS FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;2024-06-30;693629;40565886.54;AÇÕES;;N;Para negociação;9458.00;356504.28;58634.00;2179150.46;49176.00;1871146.80;;;PETR4;;;;;;;;1973-09-18;;;;
CLASSES FIIM;54.314.981/0001-70;IT NOW IDIV RENDA DIVIDENDOS FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;2024-06-30;693629;40565886.54;AÇÕES;;N;Para negociação;10638.00;131551.60;65493.00;816823.31;54855.00;670328.10;;;CMIG3;;;;;;;;1973-08-20;;;;
CLASSES FIIM;54.314.981/0001-70;IT NOW IDIV RENDA DIVIDENDOS FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;2024-06-30;693629;40565886.54;AÇÕES;;N;Para negociação;5411.00;79942.32;33531.00;481265.96;28120.00;422643.60;;;FLRY3;;;;;;;;2009-12-17;;;;
CLASSES FIIM;54.314.981/0001-70;IT NOW IDIV RENDA DIVIDENDOS FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;2024-06-30;693629;40565886.54;AÇÕES;;N;Para negociação;4235.00;86106.35;26275.00;524561.97;22040.00;460415.60;;;CSMG3;;;;;;;;2006-02-08;;;;
CLASSES FIIM;54.314.981/0001-70;IT NOW IDIV RENDA DIVIDENDOS FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;2024-06-30;693629;40565886.54;AÇÕES;;N;Para negociação;3610.00;29146.76;22424.00;173715.97;18814.00;151828.98;;;FESA4;;;;;;;;1979-01-31;;;;
CLASSES FIIM;54.314.981/0001-70;IT NOW IDIV RENDA DIVIDENDOS FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;2024-06-30;693629;40565886.54;AÇÕES;;N;Para negociação;4106.00;187647.20;25519.00;1135815.11;21413.00;970865.42;;;VIVT3;;;;;;;;2011-10-06;;;;
CLASSES FIIM;54.314.981/0001-70;IT NOW IDIV RENDA DIVIDENDOS FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;2024-06-30;693629;40565886.54;AÇÕES;;S;Para negociação;17854.00;175209.44;110742.00;1072559.51;92888.00;912160.16;;;ITSA4;;;;;;;;1973-09-17;;;;
CLASSES FIIM;54.314.981/0001-70;IT NOW IDIV RENDA DIVIDENDOS FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;2024-06-30;693629;40565886.54;AÇÕES;;N;Para negociação;719.00;17366.82;4439.00;103786.17;3720.00;90916.80;;;TGMA3;;;;;;;;2007-07-03;;;;
CLASSES FIIM;54.314.981/0001-70;IT NOW IDIV RENDA DIVIDENDOS FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;2024-06-30;693629;40565886.54;AÇÕES;;N;Para negociação;14972.00;96776.28;92875.00;576768.21;77903.00;494684.05;;;POMO4;;;;;;;;1978-07-20;;;;
CLASSES FIIM;54.314.981/0001-70;IT NOW IDIV RENDA DIVIDENDOS FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;2024-06-30;693629;40565886.54;AÇÕES;;N;Para negociação;11626.00;166406.12;72176.00;1026417.19;60550.00;866470.50;;;CXSE3;;;;;;;;2021-04-29;;;;
CLASSES FIIM;54.314.981/0001-70;IT NOW IDIV RENDA DIVIDENDOS FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;2024-06-30;693629;40565886.54;AÇÕES;;N;Para negociação;13599.00;172607.91;83825.00;1041723.39;70226.00;906617.66;;;CSNA3;;;;;;;;1993-08-02;;;;
CLASSES FIIM;54.314.981/0001-70;IT NOW IDIV RENDA DIVIDENDOS FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;2024-06-30;693629;40565886.54;AÇÕES;;N;Para negociação;11574.00;89251.20;71768.00;515630.58;60194.00;476134.54;;;USIM5;;;;;;;;1999-02-02;;;;
CLASSES FIIM;54.314.981/0001-70;IT NOW IDIV RENDA DIVIDENDOS FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;2024-06-30;693629;40565886.54;AÇÕES;;N;Para negociação;4217.00;139555.32;26145.00;856766.43;21928.00;717703.44;;;CPFE3;;;;;;;;2004-09-29;;;;
CLASSES FIIM;54.314.981/0001-70;IT NOW IDIV RENDA DIVIDENDOS FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;2024-06-30;693629;40565886.54;AÇÕES;;N;Para negociação;12382.00;198234.08;76787.00;1217451.36;64405.00;1022751.40;;;TIMS3;;;;;;;;2020-10-13;;;;
CLASSES FIIM;54.314.981/0001-70;IT NOW IDIV RENDA DIVIDENDOS FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;2024-06-30;693629;40565886.54;AÇÕES;;N;Para negociação;42084.00;425306.36;260544.00;2659030.63;218460.00;2160569.40;;;CMIG4;;;;;;;;1973-08-20;;;;
CLASSES FIIM;54.314.981/0001-70;IT NOW IDIV RENDA DIVIDENDOS FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;2024-06-30;693629;40565886.54;AÇÕES;;N;Para negociação;9739.00;319244.42;60392.00;1979010.80;50653.00;1668003.29;;;BBSE3;;;;;;;;2013-04-29;;;;
CLASSES FIIM;54.314.981/0001-70;IT NOW IDIV RENDA DIVIDENDOS FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;2024-06-30;693629;40565886.54;AÇÕES;;N;Para negociação;1523.00;17084.69;9450.00;101644.63;7927.00;90922.69;;;TASA4;;;;;;;;2019-11-12;;;;
CLASSES FIIM;54.314.981/0001-70;IT NOW IDIV RENDA DIVIDENDOS FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;2024-06-30;693629;40565886.54;AÇÕES;;N;Para negociação;10638.00;286893.90;65997.00;1782440.85;55359.00;1478638.89;;;BBAS3;;;;;;;;1973-05-31;;;;
CLASSES FIIM;54.314.981/0001-70;IT NOW IDIV RENDA DIVIDENDOS FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;2024-06-30;693629;40565886.54;AÇÕES;;N;Para negociação;1658.00;14087.90;10322.00;85268.44;8664.00;74423.76;;;LAVV3;;;;;;;;2020-09-02;;;;
CLASSES FIIM;54.314.981/0001-70;IT NOW IDIV RENDA DIVIDENDOS FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;2024-06-30;693629;40565886.54;AÇÕES;;N;Para negociação;1649.00;13844.29;10202.00;89012.92;8553.00;67141.05;;;POSI3;;;;;;;;2006-12-11;;;;
CLASSES FIIM;54.314.981/0001-70;IT NOW IDIV RENDA DIVIDENDOS FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;2024-06-30;693629;40565886.54;AÇÕES;;N;Para negociação;1409.00;4992.45;8718.00;30666.40;7309.00;25508.41;;;MTRE3;;;;;;;;2020-02-05;;;;
