TP_FUNDO_CLASSE;CNPJ_FUNDO_CLASSE;DENOM_SOCIAL;DT_COMPTC;ID_DOC;TP_APLIC;VL_VENDA_NEGOC;VL_AQUIS_NEGOC;VL_MERC_POS_FINAL;VL_CUSTO_POS_FINAL;DT_CONFID_APLIC
CLASSES FIIM;47.758.831/0001-90;Hashdex Crypto Momentum Fundo de Índice;2025-04-30;907792;DISPONIBILIDADES;;;1776;;2025-07-29
CLASSES FIIM;47.758.831/0001-90;Hashdex Crypto Momentum Fundo de Índice;2025-04-30;907792;INVESTIMENTO NO EXTERIOR;9743957;0;10530552;;2025-07-29
CLASSES FIIM;47.758.831/0001-90;Hashdex Crypto Momentum Fundo de Índice;2025-04-30;907792;OPERAÇÕES COMPROMISSADAS;;;60560;;2025-07-29
CLASSES FIIM;47.758.831/0001-90;Hashdex Crypto Momentum Fundo de Índice;2025-04-30;907792;VALORES A PAGAR;;;24396;;2025-07-29
CLASSES FIIM;47.758.831/0001-90;Hashdex Crypto Momentum Fundo de Índice;2025-04-30;907792;VALORES A RECEBER;;;0;;2025-07-29
CLASSES FIIM;57.091.257/0001-13;SAFRA ETF IBOVESPA EMPRESAS ESTATAIS FUNDO DE INDICE - RESPONSABILIDADE LIMITADA;2025-04-30;899991;AÇÕES;0;0;10895668;;2025-07-29
CLASSES FIIM;57.091.257/0001-13;SAFRA ETF IBOVESPA EMPRESAS ESTATAIS FUNDO DE INDICE - RESPONSABILIDADE LIMITADA;2025-04-30;899991;AÇÕES E OUTROS TVM CEDIDOS EM EMPRÉSTIMO;;;11027077;;2025-07-29
CLASSES FIIM;57.091.257/0001-13;SAFRA ETF IBOVESPA EMPRESAS ESTATAIS FUNDO DE INDICE - RESPONSABILIDADE LIMITADA;2025-04-30;899991;OPERAÇÕES COMPROMISSADAS;;;74080;;2025-07-29
CLASSES FIIM;58.430.507/0001-65;HASHDEX NASDAQ XRP FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;896488;DISPONIBILIDADES;;;4010;;2025-07-29
CLASSES FIIM;58.430.507/0001-65;HASHDEX NASDAQ XRP FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;896488;INVESTIMENTO NO EXTERIOR;226463083;0;225337450;;2025-07-29
CLASSES FIIM;58.430.507/0001-65;HASHDEX NASDAQ XRP FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;896488;OPERAÇÕES COMPROMISSADAS;;;26239;;2025-07-29
CLASSES FIIM;58.430.507/0001-65;HASHDEX NASDAQ XRP FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;896488;VALORES A PAGAR;;;31532;;2025-07-29
CLASSES FIIM;58.430.507/0001-65;HASHDEX NASDAQ XRP FUNDO DE ÍNDICE - RESPONSABILIDADE LIMITADA;2025-04-30;896488;VALORES A RECEBER;;;0;;2025-07-29
FIIM;38.314.708/0001-90;HASHDEX NASDAQ CRYPTO INDEX FUNDO DE INDICE;2025-04-30;895061;DISPONIBILIDADES;;;16795;;2025-07-29
FIIM;38.314.708/0001-90;HASHDEX NASDAQ CRYPTO INDEX FUNDO DE INDICE;2025-04-30;895061;INVESTIMENTO NO EXTERIOR;18935250;0;3560546161;;2025-07-29
FIIM;38.314.708/0001-90;HASHDEX NASDAQ CRYPTO INDEX FUNDO DE INDICE;2025-04-30;895061;OPERAÇÕES COMPROMISSADAS;;;1515873;;2025-07-29
FIIM;38.314.708/0001-90;HASHDEX NASDAQ CRYPTO INDEX FUNDO DE INDICE;2025-04-30;895061;VALORES A PAGAR;;;2161732;;2025-07-29
FIIM;38.314.708/0001-90;HASHDEX NASDAQ CRYPTO INDEX FUNDO DE INDICE;2025-04-30;895061;VALORES A RECEBER;;;11974;;2025-07-29
FIIM;38.350.645/0001-27;SAFRA ETF IBOVESPA FUNDO DE INDICE - RESPONSABILIDADE LIMITADA;2025-04-30;900004;AÇÕES;0;0;14408362;;2025-07-29
FIIM;38.350.645/0001-27;SAFRA ETF IBOVESPA FUNDO DE INDICE - RESPONSABILIDADE LIMITADA;2025-04-30;900004;AÇÕES E OUTROS TVM CEDIDOS EM EMPRÉSTIMO;;;9598048;;2025-07-29
FIIM;38.350.645/0001-27;SAFRA ETF IBOVESPA FUNDO DE INDICE - RESPONSABILIDADE LIMITADA;2025-04-30;900004;CERTIFICADO OU RECIBO DE DEPÓSITO DE VALORES MOBILIÁRIOS;0;0;658677;;2025-07-29
FIIM;38.350.645/0001-27;SAFRA ETF IBOVESPA FUNDO DE INDICE - RESPONSABILIDADE LIMITADA;2025-04-30;900004;OPERAÇÕES COMPROMISSADAS;;;6294520;;2025-07-29
FIIM;40.755.515/0001-16;HASHDEX DEFI INDEX FUNDO DE ÍNDICE;2025-04-30;895059;DISPONIBILIDADES;;;4586;;2025-07-29
FIIM;40.755.515/0001-16;HASHDEX DEFI INDEX FUNDO DE ÍNDICE;2025-04-30;895059;INVESTIMENTO NO EXTERIOR;982717;0;48765825;;2025-07-29
FIIM;40.755.515/0001-16;HASHDEX DEFI INDEX FUNDO DE ÍNDICE;2025-04-30;895059;OPERAÇÕES COMPROMISSADAS;;;48838;;2025-07-29
FIIM;40.755.515/0001-16;HASHDEX DEFI INDEX FUNDO DE ÍNDICE;2025-04-30;895059;VALORES A PAGAR;;;17841;;2025-07-29
FIIM;40.755.515/0001-16;HASHDEX DEFI INDEX FUNDO DE ÍNDICE;2025-04-30;895059;VALORES A RECEBER;;;5723;;2025-07-29
FIIM;41.256.573/0001-68;HASHDEX NASDAQ BITCOIN REFERENCE PRICE FUNDO DE ÍNDICE;2025-04-30;895060;DISPONIBILIDADES;;;9909;;2025-07-29
FIIM;41.256.573/0001-68;HASHDEX NASDAQ BITCOIN REFERENCE PRICE FUNDO DE ÍNDICE;2025-04-30;895060;INVESTIMENTO NO EXTERIOR;10162946;0;1701195434;;2025-07-29
FIIM;41.256.573/0001-68;HASHDEX NASDAQ BITCOIN REFERENCE PRICE FUNDO DE ÍNDICE;2025-04-30;895060;OPERAÇÕES COMPROMISSADAS;;;44931;;2025-07-29
FIIM;41.256.573/0001-68;HASHDEX NASDAQ BITCOIN REFERENCE PRICE FUNDO DE ÍNDICE;2025-04-30;895060;VALORES A PAGAR;;;3837898;;2025-07-29
FIIM;41.256.573/0001-68;HASHDEX NASDAQ BITCOIN REFERENCE PRICE FUNDO DE ÍNDICE;2025-04-30;895060;VALORES A RECEBER;;;2159297;;2025-07-29
FIIM;41.907.631/0001-76;HASHDEX NASDAQ ETHEREUM REFERENCE PRICE FUNDO DE ÍNDICE;2025-04-30;895062;DISPONIBILIDADES;;;3502;;2025-07-29
FIIM;41.907.631/0001-76;HASHDEX NASDAQ ETHEREUM REFERENCE PRICE FUNDO DE ÍNDICE;2025-04-30;895062;INVESTIMENTO NO EXTERIOR;3490711;0;250192780;;2025-07-29
FIIM;41.907.631/0001-76;HASHDEX NASDAQ ETHEREUM REFERENCE PRICE FUNDO DE ÍNDICE;2025-04-30;895062;OPERAÇÕES COMPROMISSADAS;;;44931;;2025-07-29
FIIM;41.907.631/0001-76;HASHDEX NASDAQ ETHEREUM REFERENCE PRICE FUNDO DE ÍNDICE;2025-04-30;895062;VALORES A PAGAR;;;45445;;2025-07-29
FIIM;41.907.631/0001-76;HASHDEX NASDAQ ETHEREUM REFERENCE PRICE FUNDO DE ÍNDICE;2025-04-30;895062;VALORES A RECEBER;;;8161;;2025-07-29
FIIM;43.210.658/0001-30;SAFRA ETF MULHERES NA LIDERANÇA FUNDO DE ÍNDICE DE AÇÕES INVESTIMENTO SUSTENTÁVEL - RESP LIMITADA;2025-04-30;899999;AÇÕES;0;0;43567807;;2025-07-29
FIIM;43.210.658/0001-30;SAFRA ETF MULHERES NA LIDERANÇA FUNDO DE ÍNDICE DE AÇÕES INVESTIMENTO SUSTENTÁVEL - RESP LIMITADA;2025-04-30;899999;AÇÕES E OUTROS TVM CEDIDOS EM EMPRÉSTIMO;;;36478702;;2025-07-29
FIIM;43.210.658/0001-30;SAFRA ETF MULHERES NA LIDERANÇA FUNDO DE ÍNDICE DE AÇÕES INVESTIMENTO SUSTENTÁVEL - RESP LIMITADA;2025-04-30;899999;CERTIFICADO OU RECIBO DE DEPÓSITO DE VALORES MOBILIÁRIOS;0;0;1624611;;2025-07-29
FIIM;43.210.658/0001-30;SAFRA ETF MULHERES NA LIDERANÇA FUNDO DE ÍNDICE DE AÇÕES INVESTIMENTO SUSTENTÁVEL - RESP LIMITADA;2025-04-30;899999;OPERAÇÕES COMPROMISSADAS;;;545953;;2025-07-29
FIIM;43.951.717/0001-21;HASHDEX SMART CONTRACT PLATFORMS FUNDO DE ÍNDICE;2025-04-30;895063;DISPONIBILIDADES;;;4639;;2025-07-29
FIIM;43.951.717/0001-21;HASHDEX SMART CONTRACT PLATFORMS FUNDO DE ÍNDICE;2025-04-30;895063;INVESTIMENTO NO EXTERIOR;1195466;0;42409619;;2025-07-29
